GeneID	GSM4314620	GSM4314621	GSM4314622	GSM4314623	GSM4314624	GSM4314625
100287102	4	2	2	2	3	3
653635	456	530	509	893	818	810
102466751	17	12	8	16	16	15
107985730	2	1	1	1	2	2
100302278	0	0	0	0	0	0
645520	2	0	1	0	0	1
79501	0	0	0	0	0	0
100996442	31	23	30	47	38	39
729737	54	71	59	75	61	66
102725121	9	8	9	4	4	10
102723897	578	678	588	1088	943	968
102465909	8	6	5	10	6	8
107985721	2	5	0	0	4	1
112268260	11	18	18	22	13	15
729759	0	0	0	0	0	0
100132287	139	190	147	206	189	187
105378947	2	5	5	4	5	4
101928626	0	0	0	0	0	0
113219467	348	444	319	254	286	235
81399	4	2	3	4	2	7
100133331	133	178	144	216	183	175
107984841	33	36	34	43	49	50
107984847	52	77	73	102	71	88
107984849	12	12	13	13	21	15
100288069	68	86	92	106	99	84
105378580	14	18	20	25	20	18
400728	11	16	11	19	17	12
79854	19	43	23	36	30	38
643837	619	767	686	842	616	633
107984850	0	0	0	0	0	0
284593	0	0	0	0	1	0
284600	69	80	90	59	38	53
100130417	22	16	18	5	4	3
107985728	0	5	7	4	3	2
148398	1249	1558	1407	1581	1288	1307
26155	18499	23325	21396	23499	18585	19642
339451	798	810	715	983	811	934
84069	130	162	128	220	163	199
84808	23	35	27	38	31	42
57801	80	95	86	26	14	27
9636	180	203	199	332	286	285
375790	11710	14554	12851	17226	14997	15077
100288175	57	56	47	99	69	76
112267874	22	16	22	22	25	25
105378948	36	54	33	58	57	55
401934	0	0	0	4	0	0
54991	574	706	619	820	672	747
254099	0	0	0	0	1	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	0	0	0	0	0	0
254173	0	1	1	2	1	3
8784	4	5	5	8	4	2
7293	7	4	2	4	2	2
51150	7164	9023	7740	8955	7467	7795
126792	2158	2529	2146	2854	2298	2531
388581	26	35	55	48	43	51
118424	3794	4673	4342	5253	4292	4374
101928895	16	15	19	25	24	21
6339	24	35	34	28	29	29
116983	1860	2263	1804	2619	2180	2187
102465434	1	1	2	1	1	2
109623456	7	5	5	10	6	5
126789	808	900	819	1121	915	943
54973	4346	5033	4652	5910	4996	5121
102465435	14	16	12	16	13	14
80772	928	1254	1097	1432	1261	1236
83756	35	43	45	52	62	43
1855	4454	5214	4669	6219	5366	5863
102466740	3	5	3	5	8	5
54587	278	274	280	471	394	439
54998	7073	8681	8343	10527	8781	9001
81669	2205	2588	2271	3368	2962	2990
148413	1213	1574	1475	1690	1539	1539
55052	3513	4396	3956	5142	4318	4358
107984868	0	0	1	1	1	0
441869	10	4	11	5	3	2
105378585	8	3	5	1	2	1
643965	11	9	7	7	9	11
102724312	25	30	24	67	56	45
107985729	24	22	22	51	26	40
